timestamp x y z qx qy qz qw id
1679926247.482185 -0.071200 0.301257 -2.366194 0.014951 0.005170 0.882652 -0.469761 1
1679926248.082052 -0.071184 0.301236 -2.366072 0.014934 0.005217 0.882663 -0.469741 2
1679926248.782776 -0.071181 0.301275 -2.365929 0.014938 0.005254 0.882666 -0.469734 3
1679926250.181512 -0.071231 0.301397 -2.365667 0.014902 0.005279 0.882698 -0.469674 4
1679926250.882293 -0.071280 0.301433 -2.365555 0.014914 0.005262 0.882706 -0.469659 5
1679926251.581673 -0.071311 0.301473 -2.365403 0.014918 0.005255 0.882706 -0.469660 6
1679926252.282389 -0.071368 0.301510 -2.365272 0.014880 0.005274 0.882705 -0.469662 7
1679926252.981771 -0.071371 0.301503 -2.365157 0.014876 0.005261 0.882714 -0.469645 8
1679926253.581618 -0.071392 0.301513 -2.365031 0.014878 0.005257 0.882715 -0.469643 9
1679926255.182254 -0.071511 0.301602 -2.364726 0.014898 0.005296 0.882720 -0.469634 10
1679926255.882932 -0.071535 0.301638 -2.364623 0.014881 0.005281 0.882748 -0.469581 11
1679926256.582307 -0.071582 0.301718 -2.364512 0.014876 0.005367 0.882749 -0.469579 12
1679926257.982396 -0.071647 0.301878 -2.364309 0.014897 0.005376 0.882714 -0.469644 13
1679926258.681813 -0.071650 0.301939 -2.364192 0.014911 0.005353 0.882721 -0.469630 14
1679926259.281590 -0.071727 0.301968 -2.364109 0.014847 0.005410 0.882729 -0.469617 15
1679926260.683084 -0.071842 0.302092 -2.363840 0.014939 0.005328 0.882730 -0.469613 16
1679926261.482018 -0.071930 0.302163 -2.363705 0.014890 0.005337 0.882743 -0.469590 17
1679926262.182753 -0.071969 0.302240 -2.363612 0.014868 0.005265 0.882757 -0.469566 18
1679926262.782604 -0.072021 0.302235 -2.363530 0.014865 0.005237 0.882766 -0.469548 19
1679926263.481989 -0.072080 0.302275 -2.363456 0.014860 0.005192 0.882796 -0.469492 20
1679926264.182681 -0.072118 0.302265 -2.363312 0.014867 0.005195 0.882784 -0.469515 21
1679926264.882092 -0.072157 0.302282 -2.363203 0.014842 0.005243 0.882773 -0.469536 22
1679926266.282260 -0.072156 0.302264 -2.362962 0.014829 0.005166 0.882773 -0.469538 23
1679926267.082495 -0.118098 0.243027 -2.163880 0.003153 0.005008 0.880154 -0.474652 24
1679926267.682321 -0.091201 0.296284 -1.942078 0.001671 0.000983 0.877861 -0.478912 25
1679926269.082419 -0.517439 0.201072 -1.948651 -0.001044 0.000264 0.873458 -0.486899 26
1679926269.682277 -0.537924 0.179255 -1.948957 -0.001473 -0.000781 0.873740 -0.486391 27
1679926270.482490 -0.544025 0.170000 -1.947996 -0.001159 -0.002321 0.873758 -0.486354 28
1679926271.088605 -0.547793 0.164603 -1.947007 -0.001361 -0.002699 0.873770 -0.486331 29
1679926271.786757 -0.498984 0.029446 -1.947453 -0.004566 0.017799 -0.795405 0.605800 30
1679926272.390579 -0.459222 -0.295778 -1.948580 0.009846 -0.004698 -0.767090 0.641447 31
1679926273.890146 -1.433789 -1.101234 -1.962001 0.000473 -0.003915 0.905143 -0.425090 32
1679926274.588134 -1.710243 -1.410048 -1.963393 -0.001699 -0.005555 0.877625 -0.479314 33
1679926275.288826 -1.755437 -1.493335 -1.973341 -0.001186 -0.000201 0.877739 -0.479138 34
1679926275.988261 -1.765537 -1.510764 -1.974497 -0.001209 -0.000512 0.877994 -0.478669 35
1679926276.688923 -1.766474 -1.512550 -1.975402 -0.000967 -0.001014 0.877406 -0.479747 36
1679926277.388293 -1.871792 -1.771158 -1.989445 0.002321 0.001054 -0.857661 0.514210 37
1679926278.087717 -2.198415 -2.346561 -1.991574 0.004245 -0.004713 -0.865120 0.501524 38
1679926278.788377 -2.579356 -2.860156 -1.992338 -0.003910 0.000830 0.878068 -0.478520 39
1679926280.188521 -2.853394 -3.226985 -2.007561 0.001542 -0.003613 0.878048 -0.478556 40
1679926280.889168 -2.861713 -3.240276 -2.008999 -0.000011 -0.000500 0.877818 -0.478993 41
1679926281.888456 -2.896124 -3.306200 -2.012432 0.001246 -0.004239 0.871962 -0.489554 42
1679926282.788322 -3.284262 -3.963955 -2.024976 -0.018431 -0.001099 0.873098 -0.487196 43
1679926283.688272 -3.789502 -4.638431 -2.105740 -0.029552 -0.017230 0.883001 -0.468123 44
1679926284.188303 -3.927538 -4.864420 -2.125808 -0.030314 -0.023307 0.876543 -0.479802 45
