timestamp x y z qx qy qz qw id
1679926903.285150 -0.944663 0.752683 -5.145347 -0.012029 -0.010855 -0.861482 0.507529 1
1679926918.586683 -1.012885 0.691097 -5.142810 -0.011961 -0.010930 -0.864541 0.502301 15
1679926919.483892 -1.410414 0.639132 -5.137508 -0.012139 -0.010732 -0.855959 0.516790 17
1679926920.885216 -1.544966 0.618233 -5.135630 -0.012290 -0.010558 -0.848625 0.528746 18
1679926921.685560 -1.546652 0.611099 -5.135276 -0.012284 -0.010565 -0.848818 0.528437 19
1679926922.687483 -1.686159 0.137162 -5.119181 0.011511 0.011403 0.883851 -0.467489 20
1679926924.084929 -2.261311 -0.645922 -5.095152 0.011476 0.011439 0.904621 -0.425910 21
1679926924.788368 -2.466816 -1.053224 -5.080551 -0.013429 -0.009066 -0.806472 0.591051 22
1679926925.684109 -2.516971 -1.185999 -5.075814 -0.012555 -0.010242 -0.856622 0.515690 23
1679926927.686753 -2.547965 -1.230699 -5.074203 -0.012484 -0.010329 -0.860036 0.509976 25
1679926928.885174 -2.966942 -1.830392 -5.051291 0.010887 0.012000 0.923659 -0.382872 26
1679926930.086245 -3.387859 -2.489174 -5.026572 -0.012522 -0.010283 -0.857402 0.514392 27
1679926931.388120 -3.531497 -2.902685 -5.012312 -0.012908 -0.009794 -0.836912 0.547098 28
1679926932.586557 -3.471883 -2.941180 -5.011768 -0.012512 -0.010294 -0.857759 0.513797 29
1679926934.593040 -3.643814 -3.381945 -4.996443 0.012245 0.010611 0.870488 -0.491923 30
1679926935.491529 -4.150033 -4.064445 -4.970008 0.010903 0.011986 0.922123 -0.386558 31
1679926936.695188 -4.451330 -4.739774 -4.946172 -0.012838 -0.009885 -0.840121 0.542157 32
1679926937.291092 -4.439256 -4.772075 -4.945337 -0.012503 -0.010305 -0.857558 0.514131 33
1679926938.692512 -4.422331 -4.784306 -4.945084 -0.012498 -0.010311 -0.857621 0.514028 34
1679926939.892231 -4.762975 -5.215726 -4.928229 -0.013086 -0.009554 -0.825717 0.563852 35
1679926940.493445 -5.009580 -5.705464 -4.910532 -0.013157 -0.009457 -0.820908 0.570831 36
1679926941.991748 -5.407092 -6.579728 -4.879429 -0.012458 -0.010359 -0.858651 0.512305 37
1679926943.093313 -5.381173 -6.603443 -4.879012 -0.012492 -0.010319 -0.857189 0.514747 38
1679926943.991870 -5.417387 -6.703325 -4.875546 -0.012662 -0.010110 -0.848667 0.528680 39
1679926944.892939 -5.768418 -7.407680 -4.850224 0.011849 0.011051 0.886395 -0.462646 40
1679926945.792642 -6.338568 -8.008856 -4.825725 0.009743 0.012946 0.952852 -0.303003 41
1679926946.392462 -6.569799 -8.181763 -4.817936 0.009865 0.012853 0.949940 -0.312011 42
1679926947.292335 -6.631273 -8.230894 -4.815705 0.009779 0.012919 0.952050 -0.305512 43
1679926949.192737 -6.996344 -8.439921 -4.805470 0.009678 0.012995 0.954206 -0.298712 44
1679926950.392415 -7.939586 -9.104182 -4.775159 0.009635 0.013027 0.954708 -0.297103 45
1679926950.892810 -8.304554 -9.355602 -4.763653 0.009792 0.012909 0.950842 -0.309251 46
1679926952.092580 -8.390478 -9.433432 -4.760376 0.009765 0.012929 0.951454 -0.307365 47
1679926953.393177 -8.492496 -9.512000 -4.756836 0.009744 0.012945 0.951939 -0.305860 48
1679926954.092505 -9.014317 -9.862065 -4.740540 0.009771 0.012925 0.951217 -0.308098 49
1679926954.692366 -9.502963 -10.210181 -4.724520 0.009729 0.012957 0.951909 -0.305952 50
1679926955.593486 -10.006542 -10.583741 -4.707037 0.010012 0.012739 0.945277 -0.325866 51
1679926957.892051 -10.087867 -10.722558 -4.702481 0.010722 0.012148 0.924590 -0.380620 52
1679926958.594241 -10.417230 -11.200063 -4.684139 0.011648 0.011263 0.891524 -0.452683 53
1679926959.892116 -11.084528 -12.142264 -4.648052 0.012162 0.010706 0.868718 -0.495042 54
1679926960.693843 -11.169725 -12.293246 -4.642535 -0.012261 -0.010592 -0.864127 0.503013 55
1679926961.693060 -11.177547 -12.309732 -4.641917 -0.012263 -0.010591 -0.864109 0.503044 56
1679926962.193381 -11.192398 -12.343289 -4.640724 -0.012269 -0.010583 -0.863715 0.503720 57
1679926963.192744 -11.563460 -13.024209 -4.616004 -0.012379 -0.010455 -0.858209 0.513044 58
1679926963.893491 -11.897989 -13.617845 -4.594380 -0.012278 -0.010573 -0.862522 0.505760 59
1679926964.393832 -12.069342 -13.904916 -4.583783 -0.012237 -0.010620 -0.864456 0.502448 60
1679926965.693092 -12.121953 -14.071179 -4.578146 -0.012242 -0.010614 -0.864183 0.502918 61
1679926967.493993 -12.152701 -14.135234 -4.575868 -0.012292 -0.010556 -0.861720 0.507125 63
1679926968.892851 -12.753927 -15.222021 -4.536393 -0.012235 -0.010622 -0.863618 0.503886 64
1679926969.993094 -13.087026 -15.799932 -4.515209 -0.012227 -0.010632 -0.863840 0.503506 65
1679926971.093275 -13.104881 -15.868689 -4.512927 -0.012227 -0.010632 -0.863768 0.503630 66
1679926973.394534 -13.528986 -16.777609 -4.480713 -0.013115 -0.009514 -0.815620 0.578361 68
1679926975.293744 -14.098304 -17.647308 -4.448198 -0.012195 -0.010668 -0.864430 0.502493 69
1679926976.493506 -14.105825 -17.667995 -4.447430 -0.012218 -0.010642 -0.863559 0.503987 70
1679926977.993136 -14.370821 -18.248903 -4.426923 0.011510 0.011404 0.893802 -0.448168 71
1679926978.794724 -14.758456 -18.891802 -4.403144 0.011827 0.011075 0.880745 -0.473313 72
1679926979.894918 -15.099525 -19.386734 -4.384353 -0.012201 -0.010661 -0.863719 0.503713 73
1679926980.594324 -15.075140 -19.410408 -4.384153 -0.012188 -0.010677 -0.864413 0.502522 74
1679926981.494113 -15.069298 -19.413595 -4.383837 0.012082 0.010796 0.869384 -0.493871 75
1679926982.993741 -15.591245 -20.264158 -4.352081 -0.012201 -0.010661 -0.863550 0.504002 76
1679926983.994329 -16.014771 -21.037466 -4.323498 -0.012198 -0.010664 -0.863657 0.503820 77
1679926984.594190 -16.099903 -21.169144 -4.318539 -0.012195 -0.010669 -0.863836 0.503513 78
1679926985.994351 -16.069094 -21.179995 -4.318520 -0.012189 -0.010675 -0.863929 0.503353 79
1679926986.594223 -16.103342 -21.238295 -4.316370 -0.012191 -0.010673 -0.863583 0.503946 80
1679926987.893433 -16.686985 -22.209620 -4.280558 -0.012182 -0.010684 -0.862872 0.505163 81
1679926988.594087 -16.953775 -22.745575 -4.261354 -0.012174 -0.010693 -0.863093 0.504785 82
1679926989.293523 -17.070417 -22.923801 -4.254634 -0.012210 -0.010651 -0.862222 0.506271 83
1679926989.894672 -17.065104 -22.956200 -4.253747 -0.012185 -0.010680 -0.862532 0.505742 84
1679926991.193879 -17.076204 -23.005426 -4.252097 -0.012212 -0.010649 -0.861174 0.508051 86
1679926992.494567 -17.389994 -23.727032 -4.226707 0.011085 0.011817 0.907564 -0.419600 87
1679926993.192542 -17.704901 -24.116894 -4.211377 0.009269 0.013290 0.958796 -0.283633 88
1679926993.891924 -18.015148 -24.486235 -4.196926 0.009604 0.013050 0.950871 -0.309163 89
1679926994.501825 -18.086170 -24.619732 -4.192120 -0.012157 -0.010711 -0.863641 0.503847 90
1679926995.199852 -18.089010 -24.661119 -4.190681 0.011817 0.011086 0.879357 -0.475887 91
1679926996.600031 -18.089657 -24.687601 -4.189997 0.011713 0.011195 0.883400 -0.468340 92
1679926997.299372 -18.186079 -24.790821 -4.185715 0.011670 0.011240 0.885580 -0.464205 93
1679926998.001461 -18.575008 -25.227665 -4.168405 0.011879 0.011019 0.876183 -0.481707 94
1679926998.698155 -18.938307 -25.786110 -4.147556 -0.012478 -0.010336 -0.846612 0.531964 95
1679926999.401503 -19.133879 -26.288212 -4.130145 -0.012847 -0.009874 -0.826700 0.562409 96
1679927000.098233 -19.146061 -26.366234 -4.127629 -0.012143 -0.010728 -0.862955 0.505020 97
1679927001.499664 -19.134192 -26.385557 -4.127126 0.012031 0.010852 0.868243 -0.495874 98
1679927002.200401 -19.143381 -26.418764 -4.126025 -0.012089 -0.010788 -0.865477 0.500687 99
1679927003.499688 -19.612375 -27.367737 -4.092024 -0.012459 -0.010359 -0.847722 0.530193 100
1679927004.200426 -19.976208 -27.910183 -4.071604 -0.012745 -0.010005 -0.831506 0.555279 101
1679927005.599104 -20.152937 -28.227329 -4.060098 -0.012115 -0.010759 -0.863498 0.504092 102
1679927006.299828 -20.162609 -28.241018 -4.059584 -0.012099 -0.010777 -0.864224 0.502847 103
1679927007.600403 -20.189676 -28.317844 -4.057009 0.011775 0.011130 0.878641 -0.477207 105
1679927008.298476 -20.378370 -28.747816 -4.041811 0.011584 0.011329 0.886534 -0.462380 106
1679927008.899673 -20.643511 -29.226851 -4.024406 0.011547 0.011366 0.887278 -0.460950 107
1679927009.699952 -21.024223 -29.792469 -4.003309 0.011892 0.011005 0.872202 -0.488878 108
1679927010.400617 -21.149996 -29.982128 -3.996170 0.011992 0.010895 0.867584 -0.497026 109
1679927011.099959 -21.139790 -29.993244 -3.995872 0.011997 0.010891 0.867578 -0.497038 110
1679927013.200855 -21.252649 -30.370115 -3.983179 -0.012443 -0.010378 -0.845711 0.533395 113
1679927013.900172 -21.535286 -30.985868 -3.961388 -0.012335 -0.010506 -0.850611 0.525546 114
1679927014.599643 -21.874798 -31.497879 -3.942201 -0.012312 -0.010533 -0.854590 0.519050 115
1679927015.300357 -22.057695 -31.746557 -3.932667 -0.012075 -0.010804 -0.865665 0.500361 116
1679927015.999661 -22.086189 -31.800138 -3.930915 -0.012007 -0.010879 -0.865559 0.500545 117
1679927016.700369 -22.091036 -31.807199 -3.930563 -0.012028 -0.010856 -0.865269 0.501047 118
1679927017.399769 -22.107195 -31.833326 -3.929507 -0.012089 -0.010789 -0.864834 0.501796 119
1679927018.700426 -22.511560 -32.648685 -3.900413 0.011405 0.011509 0.892077 -0.451593 120
1679927019.399715 -22.860851 -33.195854 -3.880085 0.011521 0.011393 0.887471 -0.460579 121
1679927019.999582 -23.084827 -33.464989 -3.869533 -0.012061 -0.010819 -0.863770 0.503626 122
1679927020.700267 -23.105152 -33.516270 -3.867770 0.011963 0.010928 0.868318 -0.495744 123
1679927021.999401 -23.125776 -33.566238 -3.866019 0.011828 0.011074 0.874270 -0.485169 124
1679927023.199071 -23.752316 -34.315601 -3.836707 0.010929 0.011962 0.908760 -0.417005 125
1679927023.901006 -24.060486 -34.868694 -3.816527 0.011935 0.010959 0.868161 -0.496018 126
1679927024.500815 -24.178885 -35.189350 -3.805544 0.011738 0.011170 0.877212 -0.479831 127
1679927025.699175 -24.200977 -35.269581 -3.802856 0.011959 0.010932 0.867369 -0.497401 128
1679927026.999635 -24.177305 -35.305626 -3.801963 0.011953 0.010939 0.867634 -0.496940 129
1679927028.898527 -24.396193 -35.579636 -3.791340 0.011829 0.011073 0.873026 -0.487405 131
1679927029.599194 -24.758047 -36.146141 -3.770294 -0.012038 -0.010846 -0.863133 0.504717 132
1679927030.198936 -24.999367 -36.641693 -3.752626 -0.012291 -0.010558 -0.850479 0.525760 133
1679927032.399163 -25.169226 -37.119209 -3.736283 0.011909 0.010986 0.868361 -0.495667 134
1679927032.899439 -25.192059 -37.146923 -3.735153 0.011888 0.011009 0.869186 -0.494220 135
1679927033.799124 -25.601994 -37.683456 -3.714597 0.011582 0.011331 0.882269 -0.470467 136
1679927034.799766 -26.105623 -38.491127 -3.684734 0.011559 0.011354 0.882548 -0.469944 137
1679927035.698209 -26.296633 -38.793907 -3.673529 0.010923 0.011967 0.906873 -0.421092 138
1679927036.299284 -26.281576 -38.804493 -3.673361 0.010959 0.011935 0.905704 -0.423602 139
1679927037.898320 -26.311287 -38.847275 -3.671813 0.010964 0.011930 0.905585 -0.423855 140
1679927038.498285 -26.609175 -39.145554 -3.659646 0.010895 0.011993 0.907868 -0.418943 141
1679927039.699087 -27.329594 -40.041798 -3.624940 0.011038 0.011862 0.902414 -0.430566 142
1679927040.799235 -27.564657 -40.373730 -3.612380 0.010942 0.011950 0.905678 -0.423657 143
1679927041.399098 -27.556213 -40.392006 -3.611881 0.010950 0.011943 0.905408 -0.424234 144
1679927042.698236 -27.606787 -40.481647 -3.608632 0.011043 0.011857 0.902051 -0.431326 146
1679927043.998838 -28.306231 -41.416168 -3.572959 -0.012072 -0.010807 -0.858818 0.512024 147
1679927045.497004 -28.597778 -41.785706 -3.558628 -0.013763 -0.008551 -0.757666 0.652442 148
1679927046.498874 -28.585320 -41.797340 -3.558422 -0.013734 -0.008597 -0.759712 0.650058 149
1679927047.597833 -28.585146 -42.063972 -3.550205 -0.014357 -0.007510 -0.706544 0.707484 150
1679927048.599721 -28.636114 -42.413284 -3.538923 -0.015122 -0.005818 -0.621089 0.783572 151
1679927050.598163 -28.633118 -42.453632 -3.537670 -0.015063 -0.005971 -0.629198 0.777076 152
1679927051.597588 -28.332647 -43.035275 -3.522600 -0.016012 -0.002479 -0.440166 0.897770 153
1679927052.100379 -28.274435 -43.217648 -3.517707 -0.016186 -0.000747 -0.341055 0.939904 154
1679927053.499111 -28.218910 -43.279415 -3.516142 -0.016104 -0.001784 -0.401531 0.915702 155
1679927054.900105 -28.022690 -43.410927 -3.514020 -0.016187 -0.000705 -0.338923 0.940675 157
1679927056.200580 -27.058599 -44.157429 -3.500190 -0.016199 -0.000368 -0.318860 0.947663 158
1679927056.899955 -26.645309 -44.427578 -3.495809 -0.016191 0.000608 -0.261122 0.965170 159
