timestamp x y z qx qy qz qw id
1680009045.161726 -29.414551 -10.247416 -6.131082 0.017620 -0.006295 0.996771 0.078084 1
1680009046.261889 -29.414585 -10.247600 -6.130858 0.017601 -0.006330 0.996769 0.078111 2
1680009047.461637 -29.415550 -10.247493 -6.131356 0.017655 -0.006297 0.996757 0.078259 3
1680009048.462219 -29.417120 -10.247455 -6.131189 0.017658 -0.006286 0.996763 0.078175 4
1680009049.562431 -29.414158 -10.247682 -6.131367 0.017627 -0.006278 0.996772 0.078078 5
1680009050.861658 -29.415287 -10.247369 -6.131206 0.017632 -0.006263 0.996771 0.078082 6
1680009050.861658 -29.415028 -10.247561 -6.131537 0.017641 -0.006366 0.996766 0.078142 7
1680009051.961836 -29.415857 -10.247709 -6.131017 0.017618 -0.006303 0.996762 0.078203 8
1680009053.161525 -29.416162 -10.247624 -6.131114 0.017624 -0.006285 0.996757 0.078267 9
1680009054.261708 -29.415710 -10.247574 -6.130939 0.017623 -0.006288 0.996767 0.078141 10
1680009055.361845 -29.415344 -10.247685 -6.131083 0.017618 -0.006302 0.996767 0.078144 11
1680009056.461983 -29.414595 -10.247907 -6.131078 0.017621 -0.006294 0.996772 0.078068 12
1680009057.562187 -29.415628 -10.247355 -6.131728 0.017564 -0.006463 0.996769 0.078116 13
1680009058.662393 -29.415411 -10.247659 -6.131411 0.017641 -0.006364 0.996769 0.078100 14
1680009059.862051 -29.414234 -10.247802 -6.131975 0.017617 -0.006489 0.996768 0.078110 15
1680009060.962274 -29.415171 -10.247293 -6.131025 0.017623 -0.006287 0.996771 0.078089 16
1680009062.161969 -29.415606 -10.247315 -6.131947 0.017615 -0.006495 0.996762 0.078185 17
1680009063.262149 -29.415232 -10.247288 -6.131054 0.017620 -0.006296 0.996769 0.078116 18
1680009064.362268 -29.414442 -10.247834 -6.131478 0.017644 -0.006357 0.996777 0.077997 19
1680009065.461132 -29.415310 -10.247816 -6.131154 0.017617 -0.006304 0.996782 0.077951 20
1680009066.561311 -29.414804 -10.247590 -6.131722 0.017564 -0.006462 0.996771 0.078092 21
1680009067.661446 -29.416414 -10.247147 -6.131317 0.017655 -0.006296 0.996755 0.078277 22
1680009068.662154 -29.414330 -10.247348 -6.131955 0.017538 -0.006472 0.996767 0.078145 23
1680009069.762269 -29.415806 -10.247524 -6.131322 0.017655 -0.006297 0.996766 0.078138 24
1680009070.961986 -29.413950 -10.247629 -6.131068 0.017617 -0.006304 0.996773 0.078065 25
1680009072.262578 -29.413912 -10.247895 -6.131925 0.017543 -0.006459 0.996782 0.077944 26
1680009073.462301 -29.414799 -10.247283 -6.131931 0.017619 -0.006484 0.996770 0.078078 27
1680009074.662624 -29.415638 -10.247007 -6.131673 0.017566 -0.006458 0.996754 0.078299 28
1680009075.762826 -29.413956 -10.247596 -6.131947 0.017617 -0.006489 0.996775 0.078018 29
1680009076.862945 -29.412760 -10.248249 -6.132046 0.017623 -0.006473 0.996784 0.077902 30
1680009077.961798 -29.414385 -10.247650 -6.131976 0.017619 -0.006484 0.996774 0.078035 31
1680009078.962413 -29.413208 -10.247890 -6.131213 0.017622 -0.006291 0.996777 0.078011 32
1680009080.062596 -29.413111 -10.248123 -6.131241 0.017623 -0.006288 0.996786 0.077892 33
1680009081.262278 -29.413517 -10.248034 -6.131749 0.017564 -0.006461 0.996780 0.077971 34
1680009082.362479 -29.414322 -10.247565 -6.131192 0.017626 -0.006279 0.996772 0.078078 35
1680009083.562207 -29.413189 -10.247746 -6.131995 0.017624 -0.006471 0.996776 0.078009 36
1680009084.862732 -29.414705 -10.247649 -6.131034 0.017621 -0.006294 0.996767 0.078139 37
1680009085.962873 -29.415041 -10.247271 -6.131863 0.017540 -0.006466 0.996781 0.077969 38
1680009087.063068 -29.413977 -10.247735 -6.131179 0.017628 -0.006274 0.996770 0.078098 39
1680009088.161969 -29.416265 -10.247188 -6.131308 0.017621 -0.006293 0.996766 0.078152 40
1680009089.262105 -29.417141 -10.247437 -6.131872 0.017621 -0.006480 0.996767 0.078122 41
1680009090.262729 -29.416622 -10.247277 -6.131673 0.017566 -0.006456 0.996759 0.078234 42
1680009091.362896 -29.413746 -10.247540 -6.131975 0.017539 -0.006470 0.996777 0.078012 43
1680009092.463073 -29.414377 -10.247538 -6.131735 0.017564 -0.006461 0.996773 0.078063 44
1680009093.762316 -29.415979 -10.247237 -6.131472 0.017641 -0.006366 0.996769 0.078098 45
1680009094.762958 -29.416901 -10.246629 -6.131273 0.017656 -0.006294 0.996754 0.078298 46
1680009095.962642 -29.415051 -10.247564 -6.131018 0.017621 -0.006294 0.996758 0.078249 47
1680009097.062795 -29.414783 -10.247517 -6.131159 0.017620 -0.006296 0.996770 0.078099 48
1680009098.262522 -29.415049 -10.247474 -6.131015 0.017619 -0.006299 0.996771 0.078091 49
1680009099.362702 -29.413452 -10.247587 -6.131227 0.017623 -0.006288 0.996785 0.077906 50
1680009100.462907 -29.512466 -10.217743 -6.127058 0.017618 -0.006302 0.996942 0.075879 51
1680009101.563065 -29.275923 -10.066706 -6.133024 0.017557 -0.006469 0.997665 0.065685 52
1680009102.661974 -29.287651 -10.033221 -6.131658 0.017549 -0.006491 0.997733 0.064645 53
1680009103.662529 -29.331434 -10.040317 -6.130569 0.017456 -0.006737 0.998493 0.051597 54
1680009104.663152 -30.041485 -10.191739 -6.108089 0.016252 -0.009273 0.994847 -0.099650 55
1680009105.763353 -30.891146 -10.392542 -6.082029 0.014867 -0.011362 0.972615 -0.231669 56
1680009106.963097 -30.945831 -10.427526 -6.080515 0.015144 -0.010989 0.978008 -0.207726 57
1680009108.061894 -30.946760 -10.431620 -6.080608 0.015218 -0.010887 0.979306 -0.201517 58
1680009109.062565 -31.314560 -10.648013 -6.071324 0.014940 -0.011265 0.974012 -0.225722 59
1680009110.162743 -32.268703 -11.119324 -6.045864 0.014834 -0.011404 0.971921 -0.234561 60
1680009111.262966 -32.698708 -11.360994 -6.034856 0.014899 -0.011319 0.973289 -0.228819 61
1680009112.462564 -32.734684 -11.375590 -6.033926 0.014896 -0.011323 0.973250 -0.228984 62
1680009113.562813 -33.003258 -11.453255 -6.025647 0.015476 -0.010517 0.983899 -0.177742 63
1680009114.662955 -33.995621 -11.770658 -5.996540 0.015965 -0.009759 0.991361 -0.129818 64
1680009115.859955 -34.633434 -11.982662 -5.977841 0.017183 -0.007406 0.999752 0.012076 65
1680009116.861938 -34.635143 -12.005196 -5.978410 0.016927 -0.007974 0.999626 -0.019947 66
1680009119.062253 -35.328716 -11.974488 -5.954256 0.017223 -0.007313 0.999643 0.019067 68
1680009120.062921 -36.283226 -11.942641 -5.921175 0.017266 -0.007210 0.999506 0.025265 69
1680009121.163150 -36.679085 -11.904098 -5.907084 0.017268 -0.007205 0.999488 0.025937 70
1680009122.261937 -36.693127 -11.916822 -5.906729 0.017271 -0.007198 0.999502 0.025423 71
1680009123.362100 -36.927444 -11.896383 -5.898525 0.017300 -0.007129 0.999365 0.030338 72
1680009124.462255 -37.974022 -11.849391 -5.862078 0.017318 -0.007084 0.999276 0.033123 73
1680009125.562454 -38.671326 -11.841125 -5.838108 0.017249 -0.007250 0.999547 0.023573 74
1680009126.563123 -38.760292 -11.817993 -5.834790 0.017254 -0.007238 0.999527 0.024407 75
1680009128.662552 -38.961578 -11.811526 -5.827783 0.017268 -0.007206 0.999485 0.026070 77
