timestamp x y z qx qy qz qw id
1680009045.161726 -29.414551 -10.247416 -6.131082 0.017620 -0.006295 0.996771 0.078084 1
1680009046.261889 -29.414553 -10.247437 -6.130858 0.017601 -0.006329 0.996771 0.078091 2
1680009047.461637 -29.414566 -10.247474 -6.130628 0.017613 -0.006323 0.996765 0.078158 3
1680009048.462219 -29.414545 -10.247527 -6.130429 0.017629 -0.006367 0.996766 0.078143 4
1680009049.562431 -29.414553 -10.247601 -6.130171 0.017614 -0.006363 0.996766 0.078140 5
1680009050.861658 -29.414543 -10.247647 -6.129905 0.017609 -0.006411 0.996761 0.078207 6
1680009050.861658 -29.414543 -10.247647 -6.129905 0.017609 -0.006411 0.996761 0.078207 7
1680009051.961836 -29.414536 -10.247747 -6.129658 0.017659 -0.006499 0.996757 0.078240 8
1680009053.161525 -29.414545 -10.247936 -6.129368 0.017654 -0.006519 0.996755 0.078270 9
1680009054.261708 -29.414549 -10.248137 -6.129099 0.017702 -0.006538 0.996749 0.078335 10
1680009055.361845 -29.414555 -10.248400 -6.128862 0.017679 -0.006545 0.996746 0.078373 11
1680009056.461983 -29.414539 -10.248535 -6.128618 0.017656 -0.006536 0.996745 0.078392 12
1680009057.562187 -29.414534 -10.248702 -6.128424 0.017606 -0.006483 0.996745 0.078401 13
1680009058.662393 -29.414547 -10.248824 -6.128177 0.017631 -0.006436 0.996747 0.078382 14
1680009059.862051 -29.414526 -10.248920 -6.127923 0.017618 -0.006424 0.996748 0.078367 15
1680009060.962274 -29.414536 -10.249050 -6.127676 0.017681 -0.006445 0.996752 0.078297 16
1680009062.161969 -29.414541 -10.249151 -6.127430 0.017641 -0.006503 0.996752 0.078304 17
1680009063.262149 -29.414539 -10.249242 -6.127189 0.017613 -0.006323 0.996753 0.078318 18
1680009064.362268 -29.414545 -10.249347 -6.126943 0.017642 -0.006328 0.996755 0.078279 19
1680009065.461132 -29.414532 -10.249446 -6.126727 0.017615 -0.006339 0.996760 0.078222 20
1680009066.561311 -29.414513 -10.249491 -6.126537 0.017594 -0.006381 0.996768 0.078130 21
1680009067.661446 -29.414516 -10.249573 -6.126290 0.017600 -0.006275 0.996772 0.078082 22
1680009068.662154 -29.414534 -10.249601 -6.126111 0.017573 -0.006270 0.996774 0.078063 23
1680009069.762269 -29.414505 -10.249594 -6.125945 0.017515 -0.006286 0.996776 0.078053 24
1680009070.961986 -29.414530 -10.249625 -6.125709 0.017563 -0.006254 0.996773 0.078075 25
